Hotel,Cidade,Preço,Checkin,Checkout,Dist_centro,Dist_praia,Avaliacao,Data_extracao
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2025-01-01,2025-01-08,0.2,2.5,8.3,2024-5-16
Hotel Dan Inn Mar Piedade - Grande Recife,Recife,2101,2025-01-01,2025-01-08,13.7,0.0,7.8,2024-5-16
Villa d'Oro Hotel,Recife,2136,2025-01-01,2025-01-08,1.4,2.9,8.6,2024-5-16
Lindo APT Cinza à 50m do mar - Praia de Boa Viagem,Recife,1017,2025-01-01,2025-01-08,5.8,None,10.0,2024-5-16
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2025-01-01,2025-01-08,1.2,None,9.7,2024-5-16
ibis Recife Boa Viagem,Recife,2048,2025-01-01,2025-01-08,4.4,0.35,8.0,2024-5-16
APARTAMENTO PROXIMO À UFPE,Recife,964,2025-01-01,2025-01-08,8.4,None,9.1,2024-5-16
Rede Andrade LG Inn,Recife,1827,2025-01-01,2025-01-08,6.8,0.25,7.7,2024-5-16
Hotel Golden Park Recife Boa Viagem,Recife,2632,2025-01-01,2025-01-08,9.3,0.0,7.5,2024-5-16
Rede Andrade Plaza Recife,Recife,1670,2025-01-01,2025-01-08,0.6,3.0,7.0,2024-5-16
Hotel Enseada Boa Viagem,Recife,1863,2025-01-01,2025-01-08,8.6,0.6,7.5,2024-5-16
Radisson Recife,Recife,4998,2025-01-01,2025-01-08,5.7,0.0,8.8,2024-5-16
Oxen Hostel 2024,Recife,226,2025-01-01,2025-01-08,0.45,None,6.0,2024-5-16
Marante Plaza Hotel,Recife,2800,2025-01-01,2025-01-08,5.0,0.0,8.3,2024-5-16
Dublê Hotel - The Original,Recife,2176,2025-01-01,2025-01-08,6.5,0.15,7.7,2024-5-16
'"Apartamento EXCLUSIVO - Novo com 2 Quartos Climatizados Suíte Varanda Piscina e Academia - Vaga na garagem TV de 70'' Localização Premium ao Lado do Shopping Rio Mar - Inclui Enxoval Completo e Mimos!'",Recife,1615,2025-01-01,2025-01-08,3.5,1.0,9.9,2024-5-16
Studio com varanda - Melhor localização do Arruda,Recife,682,2025-01-01,2025-01-08,3.6,None,9.0,2024-5-16
Lê'Frevo Pernambucano Hostel,Recife,298,2025-01-01,2025-01-08,0.6,3.0,7.5,2024-5-16
Hotel Atlante Plaza,Recife,4347,2025-01-01,2025-01-08,9.2,0.0,8.8,2024-5-16
Rede Andrade Onda Mar,Recife,1575,2025-01-01,2025-01-08,7.8,0.3,7.0,2024-5-16
BOA VIAGEM - FLAT ROOFTOP ALTO PADRÃO,Recife,2142,2025-01-01,2025-01-08,6.4,0.55,9.8,2024-5-16
Hotel Enseada Aeroporto,Recife,1565,2025-01-01,2025-01-08,9.7,0.75,7.5,2024-5-16
Lindo APT Azul a 50 metros do mar - Praia de Boa Viagem,Recife,1004,2025-01-01,2025-01-08,5.8,None,10.0,2024-5-16
Costa Mar Recife Hotel by Atlantica,Recife,3005,2025-01-01,2025-01-08,13.6,0.0,7.5,2024-5-16
Hotel Jangadeiro,Recife,3374,2025-01-01,2025-01-08,6.9,0.5,7.8,2024-5-16
Mercure Recife Navegantes,Recife,2438,2025-01-01,2025-01-08,7.0,0.1,7.2,2024-5-16
Park Hotel,Recife,2684,2025-01-01,2025-01-08,8.6,0.1,8.5,2024-5-16
Qto Duplo próximo ao Shopping Recife,Recife,625,2025-01-01,2025-01-08,8.1,None,10.0,2024-5-16
Hotel Nacional Inn Recife Aeroporto,Recife,2306,2025-01-01,2025-01-08,8.0,1.2,7.1,2024-5-16
Bonito é ser Feliz,Recife,757,2025-01-01,2025-01-08,4.8,None,9.7,2024-5-16
Apartamento boa viagem,Recife,1314,2025-01-01,2025-01-08,5.2,None,None,2024-5-16
Hotel Euro Suíte Recife Boa Viagem,Recife,3814,2025-01-01,2025-01-08,8.1,0.5,7.8,2024-5-16
SUITE e QUARTOS -1 SUITE COM BANHEIRO PRIVATIVO - 2 QUARTOS DUPLOS COM BANHEIRO COMPARTILHADO,Recife,1410,2025-01-01,2025-01-08,3.4,None,9.3,2024-5-16
Duplex,Recife,714,2025-01-01,2025-01-08,0.7,None,None,2024-5-16
Bugan Recife Boa Viagem Hotel - by Atlantica,Recife,5340,2025-01-01,2025-01-08,8.3,0.35,9.1,2024-5-16
Transamerica Prestige Recife - Boa Viagem,Recife,3707,2025-01-01,2025-01-08,4.3,0.0,8.4,2024-5-16
Lindo Apartamento com piscina - Beira Mar,Recife,1750,2025-01-01,2025-01-08,5.7,0.0,8.9,2024-5-16
Apartamentos a 2 min. da Praia localização exclusiva,Recife,1761,2025-01-01,2025-01-08,5.8,0.25,9.1,2024-5-16
Excelente flat em Setúbal Boa Viagem até 4 pessoas cercado por restaurantes e supermercados PM802,Recife,1708,2025-01-01,2025-01-08,9.6,0.4,9.2,2024-5-16
Beira-mar Boa Viagem - Costa Vicentina by Bnb Flex,Recife,1960,2025-01-01,2025-01-08,10.2,0.5,8.6,2024-5-16
Fity Hotel,Recife,3931,2025-01-01,2025-01-08,7.3,0.25,8.7,2024-5-16
Apart Hotel Beach Class HÔM - 1902,Recife,1693,2025-01-01,2025-01-08,6.6,None,10.0,2024-5-16
AMPLA e CONFORTÁVEL SUITE - BAIRRO DO ESPINHEIRO - RECIFE,Recife,2183,2025-01-01,2025-01-08,1.6,None,9.6,2024-5-16
Hotel Fit transamérica,Recife,1604,2025-01-01,2025-01-08,7.0,None,10.0,2024-5-16
Flat Recife - Boa Viagem,Recife,2767,2025-01-01,2025-01-08,7.0,0.0,8.2,2024-5-16
Espaço inteiro a beira mar,Recife,1142,2025-01-01,2025-01-08,7.0,None,None,2024-5-16
Stay Residence - CASA COMPARTILHADA,Recife,504,2025-01-01,2025-01-08,1.0,None,6.7,2024-5-16
Flat Novo e Moderno a 200m do Shopping  com Piscina wifii 500mbps,Recife,3040,2025-01-01,2025-01-08,7.9,1.1,9.8,2024-5-16
Flat - Boa Viagem para até 5 pessoas andar ALTO vista Mar Piscina Wifi 500Mbps,Recife,2795,2025-01-01,2025-01-08,6.2,0.8,9.8,2024-5-16
Mar Hotel Conventions,Recife,3621,2025-01-01,2025-01-08,8.7,0.5,8.6,2024-5-16
Conforto e praticidade em Boa Viagem.,Recife,2199,2025-01-01,2025-01-08,7.9,1.1,9.1,2024-5-16
Flat do lado Shopping Boa Vista,Recife,809,2025-01-01,2025-01-08,0.7,None,1.0,2024-5-16
Pousada Nordestina,Recife,1260,2025-01-01,2025-01-08,14.1,0.2,7.4,2024-5-16
Espaço rústico e aconchegante 1,Recife,600,2025-01-01,2025-01-08,3.2,None,None,2024-5-16
Flat para 4 pessoas em Boa Viagem com Piscina Wifi 500Mbps localizado a 350 metros da Praia,Recife,2894,2025-01-01,2025-01-08,6.5,0.0,9.5,2024-5-16
Hostel Brasil Recife,Recife,347,2025-01-01,2025-01-08,7.5,None,9.0,2024-5-16
Rede Andrade Vela Branca,Recife,1563,2025-01-01,2025-01-08,8.3,0.35,6.6,2024-5-16
Pousada Solar do Lazer,Recife,268,2025-01-01,2025-01-08,0.5,None,None,2024-5-16
Loft Portal Beach,Recife,714,2025-01-01,2025-01-08,3.6,0.25,6.5,2024-5-16
Studio Portal dos Corais apartamento 1003,Recife,11332,2025-01-01,2025-01-08,5.6,0.1,8.4,2024-5-16
Rooftop 470 - Novíssimo Flat Boa Viagem,Recife,2690,2025-01-01,2025-01-08,6.4,0.55,9.9,2024-5-16
Flat mobiliado na rua da Aurora,Recife,900,2025-01-01,2025-01-08,0.45,None,6.5,2024-5-16
quintal293,Recife,1260,2025-01-01,2025-01-08,0.4,2.2,9.9,2024-5-16
Beira-Mar Boa Viagem - Ivone Asfora by Bnb Flex,Recife,2160,2025-01-01,2025-01-08,9.5,0.5,8.6,2024-5-16
Perto do Chevrolet Hall,Recife,714,2025-01-01,2025-01-08,3.3,None,10.0,2024-5-16
Hotel das Fronteiras,Recife,1120,2025-01-01,2025-01-08,1.7,None,4.6,2024-5-16
BEIRA MAR- FLAT EXECUTIVE,Recife,2907,2025-01-01,2025-01-08,4.2,0.0,9.3,2024-5-16
O melhor e mais completo de boa viagem,Recife,1480,2025-01-01,2025-01-08,7.3,0.25,8.9,2024-5-16
Aram Beach Boa Viagem,Recife,3031,2025-01-01,2025-01-08,8.2,0.1,7.6,2024-5-16
Casa perto do Centro de Convenções,Recife,762,2025-01-01,2025-01-08,3.3,None,None,2024-5-16
Edifício Califórnia,Recife,704,2025-01-01,2025-01-08,5.4,None,None,2024-5-16
Aurora Recife Hostel,Recife,1176,2025-01-01,2025-01-08,1.1,None,None,2024-5-16
Studio 51 residence,Recife,862,2025-01-01,2025-01-08,15.5,0.1,7.8,2024-5-16
HY Apartments & Hotels,Recife,5141,2025-01-01,2025-01-08,4.3,0.0,8.0,2024-5-16
Nobile Residences Maria Frazão,Recife,3195,2025-01-01,2025-01-08,10.2,0.0,9.3,2024-5-16
VISTA MAR BOA VIAGEM - BEACH CLASS EXECUTIVE,Recife,2680,2025-01-01,2025-01-08,4.2,0.0,9.6,2024-5-16
Moradia dos sonhos 30 m da praia,Recife,1180,2025-01-01,2025-01-08,7.9,None,None,2024-5-16
Apt aconchegante e central,Recife,643,2025-01-01,2025-01-08,1.4,None,None,2024-5-16
Flat Beach Class Executive,Recife,3330,2025-01-01,2025-01-08,4.3,0.0,7.9,2024-5-16
Excelente Flat em Boa Viagem 2 quartos Beach Class Ideal para Família ou Viagens de Negócio NOB1804,Recife,2730,2025-01-01,2025-01-08,6.6,0.8,9.5,2024-5-16
Hospede-se próximo ao Aeroporto Internacional dos Guararapes em Recife - Rua Esdras Farias  15B,Recife,536,2025-01-01,2025-01-08,7.0,None,10.0,2024-5-16
Lindo apartamento no melhor do Recife,Recife,2249,2025-01-01,2025-01-08,3.5,0.9,9.8,2024-5-16
Flat Quarto e Sala 400 metros da Praia de Boa Viagem com Piscina Wi-Fi 220Mbps,Recife,2913,2025-01-01,2025-01-08,6.2,0.0,8.4,2024-5-16
ibis Recife Aeroporto,Recife,2129,2025-01-01,2025-01-08,9.2,1.6,8.3,2024-5-16
BlubellaRecife,Recife,1142,2025-01-01,2025-01-08,7.7,None,None,2024-5-16
Flats de Luxo by BnbFlex - Costa Vicentina,Recife,2369,2025-01-01,2025-01-08,10.2,0.1,8.6,2024-5-16
Flat/Boa Viagem - Wi-Fi 400mbps,Recife,2111,2025-01-01,2025-01-08,6.2,0.85,9.8,2024-5-16
Pousada Praia Boa Viagem,Recife,2050,2025-01-01,2025-01-08,8.5,0.15,8.0,2024-5-16
Eclipse Motel,Recife,774,2025-01-01,2025-01-08,6.5,None,6.1,2024-5-16
Beach Class Boa Viagem - Apartamento em Hotel Transamerica 5 Estrelas Vista para o Mar,Recife,2159,2025-01-01,2025-01-08,4.3,None,None,2024-5-16
STAY POUSADA,Recife,864,2025-01-01,2025-01-08,1.4,None,6.9,2024-5-16
Flat Beira Mar Recife - Praia de Piedade,Recife,5200,2025-01-01,2025-01-08,12.5,0.0,9.1,2024-5-16
Flat no Mercure Navegantes,Recife,1097,2025-01-01,2025-01-08,7.0,None,None,2024-5-16
Apart hotel c WiFi prox a Praia de Boa Viagem PE,Recife,6920,2025-01-01,2025-01-08,6.6,0.55,8.1,2024-5-16
QUARTO ARCO-ÍRES-TRIPLO CONFORTO E PRIVACIDADE- Bairro do Espinheiro -RECIFE- PERNAMBUCO,Recife,1034,2025-01-01,2025-01-08,1.9,None,None,2024-5-16
Paiva home stay,Recife,1339,2025-01-01,2025-01-08,18.9,None,None,2024-5-16
Aconchegante Flat na Orla,Recife,1758,2025-01-01,2025-01-08,14.2,0.0,8.0,2024-5-16
Flat localizado a 200m Shopping Recife bem Perto da Praia de Boa Viagem e com Wi-Fi 400Mbps,Recife,2901,2025-01-01,2025-01-08,7.8,0.9,9.1,2024-5-16
Acero'Lar,Recife,357,2025-01-01,2025-01-08,0.5,2.9,1.0,2024-5-16
Flet boa viagem,Recife,1190,2025-01-01,2025-01-08,9.3,0.1,1.0,2024-5-16
Apt 2 quartos com varanda próximo Praça Casa Forte o bairro mais agradável do Recife ARN901,Recife,1757,2025-01-01,2025-01-08,5.2,None,9.3,2024-5-16
Apartamento de 2 quartos,Recife,1960,2025-01-01,2025-01-08,3.1,None,9.8,2024-5-16
Cantinho especial de Piedade,Recife,1130,2025-01-01,2025-01-08,15.6,0.95,10.0,2024-5-16
Lindo apartamento em Recife,Recife,1017,2025-01-01,2025-01-08,3.6,None,1.0,2024-5-16
Requinte e sofisticação ao lado Jardim Botânico,Recife,1260,2025-01-01,2025-01-08,10.2,None,7.0,2024-5-16
Marbelo Pernambuco Hostel,Recife,1637,2025-01-01,2025-01-08,0.4,2.8,8.5,2024-5-16
Apartamento e Suítes Mobiliada Climatizada Campo Grande,Recife,1553,2025-01-01,2025-01-08,2.6,1.4,9.0,2024-5-16
Conforto e Estilo no Beach Class Santa Maria,Recife,2660,2025-01-01,2025-01-08,6.3,0.6,7.4,2024-5-16
Aconchego e Conveniência - Apartamento para 2pessoas a 2min da Praia de Boa viagem - 1 Quarto com Ar-Condicionado - Wi-Fi e Mobilia COMPLETA '' Localização Privilegiada com Custo-Beneficio Imbatível em Recife!'' -Promoção Exclusiva-,Recife,1687,2025-01-01,2025-01-08,5.8,0.25,8.2,2024-5-16
Kitnet 1 quarto com banheiro carnaval recife  condomínio fechado,Recife,1339,2025-01-01,2025-01-08,6.3,2.7,None,2024-5-16
Charmoso e Aconchegante,Recife,2680,2025-01-01,2025-01-08,7.3,0.5,9.5,2024-5-16
Flats Mobiliados Zona Norte Casa forte recife Aluguel por temporada Direto com o dono,Recife,1603,2025-01-01,2025-01-08,3.6,None,8.0,2024-5-16
Hostel solar do lazer,Recife,274,2025-01-01,2025-01-08,0.5,None,None,2024-5-16
Flat Beira Mar Beach Class,Recife,2890,2025-01-01,2025-01-08,4.3,0.1,6.0,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1703,Recife,1533,2025-01-01,2025-01-08,1.7,None,8.7,2024-5-16
Pousada Solar do Lazer,Recife,274,2025-01-01,2025-01-08,0.5,None,None,2024-5-16
Seu lar no melhor de Recife - Boa Viagem.,Recife,1764,2025-01-01,2025-01-08,8.5,1.1,None,2024-5-16
Ótimo Apt de 1qt a 60mts do Consulado EUA,Recife,1546,2025-01-01,2025-01-08,1.2,None,None,2024-5-16
Kitnet com hidromassagem boa viagem,Recife,1151,2025-01-01,2025-01-08,6.1,2.7,3.0,2024-5-16
Flat Boa Viagem,Recife,2173,2025-01-01,2025-01-08,9.3,0.1,9.5,2024-5-16
Sossego com excelente localização em Boa Viagem,Recife,2762,2025-01-01,2025-01-08,6.3,0.9,8.2,2024-5-16
Flora Pousada,Recife,2035,2025-01-01,2025-01-08,0.45,2.9,None,2024-5-16
Melhor local da zona norte Sem Taxas,Recife,2190,2025-01-01,2025-01-08,3.3,None,9.2,2024-5-16
Ótimo Flat Bairro da Jaqueira Recife até 3 pessoas O Bairro mais Verde da Cidade PBO902,Recife,1876,2025-01-01,2025-01-08,3.3,None,7.5,2024-5-16
Vista EXPLENDIDA MAR duplex na cobertura ilha do amor Barra Home Stay,Recife,2848,2025-01-01,2025-01-08,19.5,0.65,None,2024-5-16
Apartamento Jussara Freitas 2 quartos,Recife,3780,2025-01-01,2025-01-08,10.0,0.0,9.7,2024-5-16
Flat na Praia em HOTEL DE LUXO (1001),Recife,3145,2025-01-01,2025-01-08,4.3,0.15,10.0,2024-5-16
Kitnet recife carnaval 2024,Recife,1487,2025-01-01,2025-01-08,6.3,2.7,4.0,2024-5-16
Goldenland Home Service,Recife,2829,2025-01-01,2025-01-08,6.8,0.7,8.3,2024-5-16
APTO mobiliado Candeias JBO/PE,Recife,619,2025-01-01,2025-01-08,18.1,1.2,8.0,2024-5-16
Conforto e Localização,Recife,2142,2025-01-01,2025-01-08,8.9,None,4.0,2024-5-16
Edf: rubi,Recife,2678,2025-01-01,2025-01-08,1.5,None,10.0,2024-5-16
Transamerica Fit Recife- Flat mobiliado,Recife,2800,2025-01-01,2025-01-08,7.0,None,9.0,2024-5-16
Meu Cantinho,Recife,2079,2025-01-01,2025-01-08,5.1,None,4.0,2024-5-16
Marbelo Pernambuco,Recife,1714,2025-01-01,2025-01-08,0.4,2.8,4.5,2024-5-16
Flat Super Luxo - Boa Viagem,Recife,3010,2025-01-01,2025-01-08,6.4,0.55,None,2024-5-16
Apartamento 2 quartos 1km da Praia,Recife,3094,2025-01-01,2025-01-08,6.4,1.5,10.0,2024-5-16
Apartamento rústico e aconchegante,Recife,910,2025-01-01,2025-01-08,3.2,None,None,2024-5-16
Paiva Home Stay - Bugan Paiva by Flatbpaiva,Recife,4675,2025-01-01,2025-01-08,19.6,0.0,8.5,2024-5-16
Apt candeias,Recife,1714,2025-01-01,2025-01-08,16.7,0.55,None,2024-5-16
Flat em Boa Viagem 100% Equipado,Recife,6460,2025-01-01,2025-01-08,6.4,0.55,9.9,2024-5-16
Casa no coração de Recife para Carnaval,Recife,2800,2025-01-01,2025-01-08,1.0,2.8,10.0,2024-5-16
FLATS ROSARINHO PRINCE SPRING,Recife,3318,2025-01-01,2025-01-08,3.1,None,1.0,2024-5-16
Flat 1203 BEIRA MAR no Barra Classic,Recife,3268,2025-01-01,2025-01-08,19.4,0.0,9.6,2024-5-16
FLAT IMPERIAL SUITES Boa Viagem,Recife,1951,2025-01-01,2025-01-08,7.2,None,None,2024-5-16
Lindo Apartamento Av. Boa Viagem. 2Qts. Cozinha completa,Recife,3479,2025-01-01,2025-01-08,4.0,0.1,10.0,2024-5-16
Flat em Boa Viagem Rooftop 470 Conforto e Localização privilegiada,Recife,6156,2025-01-01,2025-01-08,6.4,0.55,9.4,2024-5-16
Flet dona anesia,Recife,4284,2025-01-01,2025-01-08,9.3,0.1,None,2024-5-16
Apartamento aconchegante em Candeias,Recife,4165,2025-01-01,2025-01-08,16.8,0.0,9.7,2024-5-16
Flat em Boa Viagem,Recife,4760,2025-01-01,2025-01-08,9.9,0.8,None,2024-5-16
Apart Hotel Marinas Tamandaré,Recife,958,2025-01-01,2025-01-08,4.8,None,1.0,2024-5-16
Paiva Home Stay Aptº temporada,Recife,3920,2025-01-01,2025-01-08,14.9,0.0,7.9,2024-5-16
EDF: RUBI 184,Recife,4123,2025-01-01,2025-01-08,1.5,None,8.0,2024-5-16
Flat boa viagem 1,Recife,3749,2025-01-01,2025-01-08,7.8,0.65,7.0,2024-5-16
Studio D'Roma em Boa Viagem,Recife,3780,2025-01-01,2025-01-08,7.7,0.6,8.5,2024-5-16
Seu lugar no Carnaval do Recife!,Recife,4788,2025-01-01,2025-01-08,0.45,2.1,None,2024-5-16
Radisson Hotel ap 801,Recife,10115,2025-01-01,2025-01-08,5.7,0.15,None,2024-5-16
Flat em Boa Viagem,Recife,4760,2025-01-01,2025-01-08,9.9,0.8,None,2024-5-16
Edf: RUBI,Recife,4284,2025-01-01,2025-01-08,1.5,None,None,2024-5-16
CASA COMPACTA NO PRIVÊ COQUEIRAL COM GARAGEM,Recife,3570,2025-01-01,2025-01-08,17.4,1.1,None,2024-5-16
Apto Carnaval 2024 Ed Camilla,Recife,5600,2025-01-01,2025-01-08,4.8,None,None,2024-5-16
Flat Beira Mar,Recife,14000,2025-01-01,2025-01-08,4.1,0.0,None,2024-5-16
BV Paradiso,Recife,10064,2025-01-01,2025-01-08,5.6,0.0,10.0,2024-5-16
FLAT MARULHOS MURO ALTO 02 Estr Ac p Praia de Muro Alto e Camboa,Recife,8840,2025-01-01,2025-01-08,43.7,0.0,None,2024-5-16
Apto 3/4 Mobiliado em Recife Cond. CLUBE,Recife,10200,2025-01-01,2025-01-08,6.5,1.8,None,2024-5-16
apartamento,Recife,8033,2025-01-01,2025-01-08,10.1,None,None,2024-5-16
Apartamento Beira Mar em Recife,Recife,13650,2025-01-01,2025-01-08,14.1,0.5,None,2024-5-16
Apduplex,Recife,13388,2025-01-01,2025-01-08,8.5,0.15,None,2024-5-16
Pousada Joãozinho Caminhador,Recife,1260,2025-01-01,2025-01-08,11.6,0.25,6.0,2024-5-16
Flat Paiva Home Stay,Recife,1943,2025-01-01,2025-01-08,18.9,0.0,7.3,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1401,Recife,1533,2025-01-01,2025-01-08,1.7,None,7.7,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1603,Recife,1533,2025-01-01,2025-01-08,1.7,None,7.5,2024-5-16
Apartamento Alice Tenório,Recife,2170,2025-01-01,2025-01-08,6.1,0.4,9.5,2024-5-16
Flat incrível 2 qtos Beach class conselheiro,Recife,1915,2025-01-01,2025-01-08,7.7,0.25,None,2024-5-16
Excelente flat em Setúbal Boa Viagem até 4 pessoas cercado por restaurantes e supermercados PM805,Recife,1918,2025-01-01,2025-01-08,9.6,0.4,8.6,2024-5-16
Quarto INDISPONÍVEL NO PRESENTE,Recife,1418,2025-01-01,2025-01-08,4.5,0.15,1.0,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1205,Recife,1533,2025-01-01,2025-01-08,1.7,None,6.8,2024-5-16
Apartamento/Flat Boa Viagem,Recife,2924,2025-01-01,2025-01-08,6.8,0.0,9.4,2024-5-16
flatpaivahome bugan paiva,Recife,2597,2025-01-01,2025-01-08,19.6,0.7,None,2024-5-16
Apartamento suite na Avenida BoaViagem,Recife,3154,2025-01-01,2025-01-08,4.3,0.5,9.8,2024-5-16
Bugan Paiva flatpaivahome,Recife,2088,2025-01-01,2025-01-08,19.6,0.75,8.0,2024-5-16
Pousada Flat Hotel em Casa Forte,Recife,3175,2025-01-01,2025-01-08,4.4,None,8.0,2024-5-16
Mercure Navegantes Recife Hotel,Recife,2419,2025-01-01,2025-01-08,7.0,None,None,2024-5-16
Excelente 3 Quartos Rua Navegantes em Boa Viagem No melhor local da praia SAL802,Recife,4489,2025-01-01,2025-01-08,6.1,0.15,9.1,2024-5-16
Cosmeflats,Recife,2100,2025-01-01,2025-01-08,19.6,0.75,4.4,2024-5-16
flat apt mobiliado beira mar,Recife,2950,2025-01-01,2025-01-08,14.3,0.0,6.8,2024-5-16
apto na quadra do mar,Recife,3330,2025-01-01,2025-01-08,14.5,0.25,8.0,2024-5-16
Apt novíssimo Tamarineira,Recife,3915,2025-01-01,2025-01-08,4.1,None,10.0,2024-5-16
Flat no melhor lugar de boa viagem,Recife,4543,2025-01-01,2025-01-08,4.5,0.2,10.0,2024-5-16
Hostel da Socorro,Recife,2835,2025-01-01,2025-01-08,9.0,0.9,1.0,2024-5-16
Apto a beira-mar em Jaboatao dos Guararapes PE,Recife,4228,2025-01-01,2025-01-08,19.4,0.6,9.0,2024-5-16
Aconchego Boa Viagem,Recife,4032,2025-01-01,2025-01-08,8.4,None,None,2024-5-16
Incrivel apto em frente a Praia de Piedade PE,Recife,4713,2025-01-01,2025-01-08,13.2,0.0,6.0,2024-5-16
Golden home service,Recife,7013,2025-01-01,2025-01-08,7.0,0.6,10.0,2024-5-16
Lindo apto à beira-mar Jaboatão dos Guararapes - PE,Recife,5908,2025-01-01,2025-01-08,16.6,0.5,7.0,2024-5-16
Cond Clube em Piedade noCarnaval,Recife,11246,2025-01-01,2025-01-08,15.7,1.0,None,2024-5-16
RESERVA DO PAIVA - A MELHOR CASA PARA TEMPORADA,Recife,20173,2025-01-01,2025-01-08,26.6,0.0,8.4,2024-5-16
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2025-01-08,2025-01-15,0.2,2.5,8.3,2024-5-16
Lindo APT Azul a 50 metros do mar - Praia de Boa Viagem,Recife,750,2025-01-08,2025-01-15,5.8,None,10.0,2024-5-16
Lindo APT Cinza à 50m do mar - Praia de Boa Viagem,Recife,838,2025-01-08,2025-01-15,5.8,None,10.0,2024-5-16
Villa d'Oro Hotel,Recife,1709,2025-01-08,2025-01-15,1.4,2.9,8.6,2024-5-16
Hotel Dan Inn Mar Piedade - Grande Recife,Recife,2101,2025-01-08,2025-01-15,13.7,0.0,7.8,2024-5-16
Dublê Hotel - The Original,Recife,1870,2025-01-08,2025-01-15,6.5,0.15,7.7,2024-5-16
'"Apartamento EXCLUSIVO - Novo com 2 Quartos Climatizados Suíte Varanda Piscina e Academia - Vaga na garagem TV de 70'' Localização Premium ao Lado do Shopping Rio Mar - Inclui Enxoval Completo e Mimos!'",Recife,1245,2025-01-08,2025-01-15,3.5,1.0,9.9,2024-5-16
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2025-01-08,2025-01-15,1.2,None,9.7,2024-5-16
ibis Recife Boa Viagem,Recife,2048,2025-01-08,2025-01-15,4.4,0.35,8.0,2024-5-16
Transamerica Fit Recife,Recife,2426,2025-01-08,2025-01-15,7.0,0.65,8.2,2024-5-16
Rede Andrade LG Inn,Recife,1827,2025-01-08,2025-01-15,6.8,0.25,7.7,2024-5-16
Kastel Manibu Recife - Boa Viagem,Recife,2911,2025-01-08,2025-01-15,4.7,0.25,8.4,2024-5-16
Rede Andrade Plaza Recife,Recife,1670,2025-01-08,2025-01-15,0.6,3.0,7.0,2024-5-16
Radisson Recife,Recife,4998,2025-01-08,2025-01-15,5.7,0.0,8.8,2024-5-16
Hotel Enseada Boa Viagem,Recife,1863,2025-01-08,2025-01-15,8.6,0.6,7.5,2024-5-16
Oxen Hostel 2024,Recife,226,2025-01-08,2025-01-15,0.45,None,6.0,2024-5-16
Marante Plaza Hotel,Recife,2800,2025-01-08,2025-01-15,5.0,0.0,8.3,2024-5-16
APARTAMENTO PROXIMO À UFPE,Recife,964,2025-01-08,2025-01-15,8.4,None,9.1,2024-5-16
Ramon Hostel Bar,Recife,380,2025-01-08,2025-01-15,8.5,0.45,7.8,2024-5-16
APARTAMENTO à 50 m do MAR - Praia de BOA VIAGEM,Recife,939,2025-01-08,2025-01-15,5.8,0.25,8.8,2024-5-16
AMPLA e CONFORTÁVEL SUITE - BAIRRO DO ESPINHEIRO - RECIFE,Recife,1273,2025-01-08,2025-01-15,1.6,None,9.6,2024-5-16
Apartamentos a 2 min. da Praia localização exclusiva,Recife,1180,2025-01-08,2025-01-15,5.8,0.25,9.1,2024-5-16
Hotel Atlante Plaza,Recife,4136,2025-01-08,2025-01-15,9.2,0.0,8.8,2024-5-16
Lê'Frevo Pernambucano Hostel,Recife,298,2025-01-08,2025-01-15,0.6,3.0,7.5,2024-5-16
Studio com varanda - Melhor localização do Arruda,Recife,682,2025-01-08,2025-01-15,3.6,None,9.0,2024-5-16
BOA VIAGEM - FLAT ROOFTOP ALTO PADRÃO,Recife,2142,2025-01-08,2025-01-15,6.4,0.55,9.8,2024-5-16
Costa Mar Recife Hotel by Atlantica,Recife,2778,2025-01-08,2025-01-15,13.6,0.0,7.5,2024-5-16
Fity Hotel,Recife,2737,2025-01-08,2025-01-15,7.3,0.25,8.7,2024-5-16
Rede Andrade Onda Mar,Recife,1575,2025-01-08,2025-01-15,7.8,0.3,7.0,2024-5-16
Duplex,Recife,714,2025-01-08,2025-01-15,0.7,None,9.5,2024-5-16
Beira-mar Boa Viagem - Costa Vicentina by Bnb Flex,Recife,1625,2025-01-08,2025-01-15,10.2,0.5,8.6,2024-5-16
Hotel Enseada Aeroporto,Recife,1565,2025-01-08,2025-01-15,9.7,0.75,7.5,2024-5-16
Grand Mercure Recife Boa Viagem,Recife,3164,2025-01-08,2025-01-15,7.8,0.0,7.8,2024-5-16
Rooftop 470 - Novíssimo Flat Boa Viagem,Recife,2318,2025-01-08,2025-01-15,6.4,0.55,9.9,2024-5-16
