Hotel,Preço,Checkin,Checkout,Dist_centro,Dist_praia
Wake Up! Bondi Beach,190.0,2024-05-21,2024-05-22,6.4,Beira-mar
57Hotel,643.0,2024-05-21,2024-05-22,1.5,None
Sir Stamford Circular Quay,1.017,2024-05-21,2024-05-22,1,None
The Maisonette,326.0,2024-05-21,2024-05-22,1.5,2.6 km da praia
Stoke Beach House,184.0,2024-05-21,2024-05-22,10.9,Beira-mar
The Tank Stream Sydney,1.16,2024-05-21,2024-05-22,0.6,None
The Sarah by Urban Rest,503.0,2024-05-21,2024-05-22,1.4,None
Darlo Bar Darlinghurst,439.0,2024-05-21,2024-05-22,1.4,None
Pyrmont Town House Homestay,357.0,2024-05-21,2024-05-22,1.5,None
Castlereagh Boutique Hotel Ascend Hotel Collection,756.0,2024-05-21,2024-05-22,250 m do centro,None
The Star Grand Hotel and Residences Sydney,1.217,2024-05-21,2024-05-22,1.4,None
The Branksome Hotel & Residences,835.0,2024-05-21,2024-05-22,7,None
The Hughenden Boutique Hotel,592.0,2024-05-21,2024-05-22,3,None
Novotel Sydney Darling Square,1.031,2024-05-21,2024-05-22,1,None
Cozy M Hotel,459.0,2024-05-21,2024-05-22,1,None
A by Adina Sydney,1.153,2024-05-21,2024-05-22,0.6,None
Harbour Rocks Hotel Sydney,1.017,2024-05-21,2024-05-22,1.2,None
Glenferrie Lodge,401.0,2024-05-21,2024-05-22,2.4,2.1 km da praia
Crowne Plaza Sydney Darling Harbour an IHG Hotel,1.183,2024-05-21,2024-05-22,0.6,None
The Sydney Boulevard Hotel,782.0,2024-05-21,2024-05-22,0.8,None
The Sebel Quay West Suites Sydney,1.289,2024-05-21,2024-05-22,1,None
28 Hotel,643.0,2024-05-21,2024-05-22,1.7,None
Vibe Hotel Sydney,854.0,2024-05-21,2024-05-22,0.9,None
Oaks Sydney Hyde Park Suites,782.0,2024-05-21,2024-05-22,0.7,None
Rydges Darling Square Apartment Hotel,949.0,2024-05-21,2024-05-22,0.7,None
Holiday Inn Sydney Airport an IHG Hotel,956.0,2024-05-21,2024-05-22,6.5,None
Adge Hotel and Residences,677.0,2024-05-21,2024-05-22,1.2,None
Hotel Harry Ascend Hotel Collection,578.0,2024-05-21,2024-05-22,0.9,None
East Sydney Hotel,459.0,2024-05-21,2024-05-22,0.8,None
Crowne Plaza Sydney Burwood an IHG Hotel,898.0,2024-05-21,2024-05-22,9.6,None
The Grace Hotel,1.391,2024-05-21,2024-05-22,300 m do centro,None
W Sydney,1.527,2024-05-21,2024-05-22,0.8,None
Oaks Sydney Castlereagh Suites,779.0,2024-05-21,2024-05-22,1,None
The Fullerton Hotel Sydney,1.778,2024-05-21,2024-05-22,350 m do centro,None
Neutral Bay Lodge,333.0,2024-05-21,2024-05-22,3.5,1.7 km da praia
202 Elizabeth,1.017,2024-05-21,2024-05-22,1.1,None
Summer House Kings Cross Sydney,107.0,2024-05-21,2024-05-22,1,None
Royal Exhibition Hotel,520.0,2024-05-21,2024-05-22,1.7,None
Crown Hotel Surry Hills,611.0,2024-05-21,2024-05-22,2.3,None
Holiday Inn Express Sydney Macquarie Park an IHG Hotel,600.0,2024-05-21,2024-05-22,12.9,None
Metro Aspire Hotel Sydney,629.0,2024-05-21,2024-05-22,1.5,None
Sydney Park Hotel,439.0,2024-05-21,2024-05-22,4.8,None
