hotel,cidade,preço,checkin,checkout,dist_centro,dist_praia,avaliacao,qtnd_avaliacoes,data_extracao
Bangalô à beira mar na Praia dos Carneiros,Recife,16074,2024-08-15,2024-08-22,74.9,0.0,9.5,4,2024-6-6
HY Beach Flats - International,Recife,3920,2024-08-15,2024-08-22,4.3,0.0,8.0,186,2024-6-6
Excelente 3 Quartos Rua Navegantes em Boa Viagem No melhor local da praia SAL802,Recife,2597,2024-08-15,2024-08-22,6.1,0.15,9.2,15,2024-6-6
Paiva Home Stay - Vista dos Sonhos,Recife,1822,2024-08-15,2024-08-22,19.7,0.0,8.6,82,2024-6-6
Apt novíssimo Tamarineira,Recife,1890,2024-08-15,2024-08-22,4.1,None,10.0,4,2024-6-6
Apartamento amplo a 700 metros da praia,Recife,1971,2024-08-15,2024-08-22,6.4,0.8,9.2,36,2024-6-6
Flat no Costa Mar Recife,Recife,1832,2024-08-15,2024-08-22,13.6,0.0,7.2,6,2024-6-6
Flats Beach Class Convention Residence,Recife,1393,2024-08-15,2024-08-22,6.6,0.8,4.4,10,2024-6-6
Hosts BR - Estúdio em Boa Viagem(s/taxas),Recife,1417,2024-08-15,2024-08-22,7.8,0.9,7.7,13,2024-6-6
Mercure Navegantes Recife Hotel,Recife,2419,2024-08-15,2024-08-22,7.0,None,10.0,1,2024-6-6
Boa Viagem Piedade Beach,Recife,2310,2024-08-15,2024-08-22,14.8,0.0,None,None,2024-6-6
Flats Beach Class Boa Viagem Exclusive,Recife,2093,2024-08-15,2024-08-22,7.0,0.5,4.8,22,2024-6-6
Flat Equipado-Jaqueira Otima Localização-SH032,Recife,1562,2024-08-15,2024-08-22,3.0,None,8.2,6,2024-6-6
Flat Premium,Recife,1247,2024-08-15,2024-08-22,8.7,0.35,1.0,2,2024-6-6
Hosts BR - Frente Mar c/ cozinha,Recife,1339,2024-08-15,2024-08-22,19.5,0.0,10.0,2,2024-6-6
Pousada Joãozinho Caminhador,Recife,1260,2024-08-15,2024-08-22,11.6,0.25,6.0,290,2024-6-6
Guest Apartment Paulo,Recife,1785,2024-08-15,2024-08-22,7.7,0.1,8.0,8,2024-6-6
Flat incrível 2 qtos Beach class conselheiro,Recife,1915,2024-08-15,2024-08-22,7.7,0.25,None,None,2024-6-6
Golden home service,Recife,2083,2024-08-15,2024-08-22,7.0,0.6,10.0,2,2024-6-6
APTO mobiliado Candeias JBO/PE,Recife,619,2024-08-15,2024-08-22,18.1,1.2,8.0,1,2024-6-6
Apartamento Alice Tenório,Recife,1960,2024-08-15,2024-08-22,6.1,0.4,9.5,4,2024-6-6
Hosts BR - Flat frente mar no Transamérica Prestige,Recife,2005,2024-08-15,2024-08-22,4.3,0.0,None,None,2024-6-6
Apartamento de Luxo em Boa Viagem Perto da Praia.,Recife,2630,2024-08-15,2024-08-22,6.8,0.15,9.1,13,2024-6-6
Hosts BR - Flats Frente Mar c/ Cozinha,Recife,1360,2024-08-15,2024-08-22,17.5,None,None,None,2024-6-6
A mais Charmosa acomodação em Boa Viagem. 500Mb,Recife,2879,2024-08-15,2024-08-22,7.2,0.25,9.8,10,2024-6-6
Quarto Litoral Sul,Recife,1418,2024-08-15,2024-08-22,4.5,0.15,1.0,1,2024-6-6
Flats Deco Design Beira Mar Prime,Recife,1386,2024-08-15,2024-08-22,12.4,0.0,3.8,22,2024-6-6
Beach Class Executive Beira Mar,Recife,3150,2024-08-15,2024-08-22,4.2,0.1,4.0,2,2024-6-6
Apart Hotel Marinas Tamandaré,Recife,958,2024-08-15,2024-08-22,4.8,None,1.0,1,2024-6-6
Flats Beach Class Convention Prime,Recife,2793,2024-08-15,2024-08-22,6.6,0.8,3.9,17,2024-6-6
Apto a beira-mar em Jaboatao dos Guararapes PE,Recife,1509,2024-08-15,2024-08-22,19.4,0.6,9.0,2,2024-6-6
Exclusivo. Permita-se uma experiência diferente,Recife,3146,2024-08-15,2024-08-22,6.8,0.15,9.3,3,2024-6-6
Flat em Boa Viagem,Recife,2254,2024-08-15,2024-08-22,7.0,0.7,None,None,2024-6-6
Praia de Piedade. Próximo ao mar. Vista lateral do mar.,Recife,1596,2024-08-15,2024-08-22,15.0,None,None,None,2024-6-6
HY Hotels,Recife,2940,2024-08-15,2024-08-22,4.2,0.1,None,None,2024-6-6
flatpaivahome bugan paiva,Recife,2744,2024-08-15,2024-08-22,19.6,0.7,None,None,2024-6-6
apto na quadra do mar,Recife,2646,2024-08-15,2024-08-22,14.5,0.25,8.0,4,2024-6-6
Apartamento 3 quartos na Praia de Boa Viagem - Recife,Recife,3010,2024-08-15,2024-08-22,6.1,None,10.0,1,2024-6-6
Flat e condomínio aconchegante !,Recife,2096,2024-08-15,2024-08-22,45.1,0.45,10.0,1,2024-6-6
Hy Beach Flats - Apartamento Luxo,Recife,4410,2024-08-15,2024-08-22,5.7,0.1,8.4,7,2024-6-6
flat apt mobiliado beira mar,Recife,2100,2024-08-15,2024-08-22,14.3,0.0,7.0,9,2024-6-6
Lindo apto à beira-mar Jaboatão dos Guararapes - PE,Recife,2166,2024-08-15,2024-08-22,16.6,0.5,7.0,1,2024-6-6
Apto de 4 quartos-a uma quadra da praia de Boa Viagem,Recife,4900,2024-08-15,2024-08-22,7.2,0.0,9.0,1,2024-6-6
HY Beach Flats - Santa Maria,Recife,4410,2024-08-15,2024-08-22,6.3,0.6,7.8,17,2024-6-6
Flats Futuro Prince Prime,Recife,1953,2024-08-15,2024-08-22,2.8,None,1.0,1,2024-6-6
Bugan Paiva flatpaivahome,Recife,2520,2024-08-15,2024-08-22,19.6,0.75,8.0,5,2024-6-6
Flats Rosarinho Prince Residence,Recife,2793,2024-08-15,2024-08-22,3.1,None,1.0,2,2024-6-6
Cosmeflats,Recife,2100,2024-08-15,2024-08-22,19.6,0.75,4.4,8,2024-6-6
FLAT PRAIA DOS CARNEIROS / TAMANDARÉ 06 TÉRREO,Recife,1700,2024-08-15,2024-08-22,78.2,0.1,10.0,1,2024-6-6
Flat no melhor lugar de boa viagem,Recife,4543,2024-08-15,2024-08-22,4.5,0.2,10.0,1,2024-6-6
Flat Futuro Prince Premium,Recife,2514,2024-08-15,2024-08-22,2.7,None,1.0,1,2024-6-6
Hostel da Socorro,Recife,2835,2024-08-15,2024-08-22,9.0,0.9,1.0,1,2024-6-6
Flats Rosarinho Prince Prime,Recife,3493,2024-08-15,2024-08-22,3.1,None,3.3,3,2024-6-6
Casa Pontal dos Carneiros - Praia dos Carneiros,Recife,4725,2024-08-15,2024-08-22,76.0,0.1,9.7,11,2024-6-6
Aconchego Boa Viagem,Recife,4032,2024-08-15,2024-08-22,8.4,None,None,None,2024-6-6
Apartamento de luxo na melhor localização de Boa Viagem,Recife,4550,2024-08-15,2024-08-22,8.7,None,None,None,2024-6-6
Catuama Beira Mar,Recife,7650,2024-08-15,2024-08-22,42.2,1.2,10.0,2,2024-6-6
Casa em Ponta De Pedras- Encanto do Litoral!,Recife,6300,2024-08-15,2024-08-22,47.5,0.55,9.7,7,2024-6-6
Cond Clube em Piedade noCarnaval,Recife,11246,2024-08-15,2024-08-22,15.7,1.0,None,None,2024-6-6
Kastel Manibu Recife - Boa Viagem,Recife,2070,2024-08-22,2024-08-29,4.7,0.25,8.4,4768,2024-6-6
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2024-08-22,2024-08-29,0.2,2.5,8.3,3,2024-6-6
Transamerica Fit Recife,Recife,1648,2024-08-22,2024-08-29,7.0,0.65,8.3,5177,2024-6-6
Flat aconchegante em Boa Viagem,Recife,696,2024-08-22,2024-08-29,4.7,0.0,None,None,2024-6-6
Hotel Central,Recife,805,2024-08-22,2024-08-29,0.8,None,7.3,393,2024-6-6
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2024-08-22,2024-08-29,1.2,None,9.7,36,2024-6-6
TOLIVE One Housi Recife by Carpediem,Recife,1341,2024-08-22,2024-08-29,1.4,None,8.4,1205,2024-6-6
Park Hotel,Recife,2135,2024-08-22,2024-08-29,8.6,0.1,8.5,5064,2024-6-6
Beach Class Convention,Recife,798,2024-08-22,2024-08-29,6.6,0.8,6.2,38,2024-6-6
Hotel Uzi Mar,Recife,1260,2024-08-22,2024-08-29,4.8,0.25,7.9,2452,2024-6-6
Zili Pernambuco - Hostel Pousada,Recife,418,2024-08-22,2024-08-29,0.45,2.9,9.1,1313,2024-6-6
Rede Andrade LG Inn,Recife,1426,2024-08-22,2024-08-29,6.8,0.25,7.7,8861,2024-6-6
Vivaz Boutique Hotel,Recife,1300,2024-08-22,2024-08-29,4.2,0.15,7.9,1519,2024-6-6
Lar Recife Olinda - Hostel com suites individuais,Recife,847,2024-08-22,2024-08-29,3.5,1.6,9.5,105,2024-6-6
Cosmopolitan Hostel,Recife,301,2024-08-22,2024-08-29,4.9,0.45,8.1,1285,2024-6-6
Dublê Hotel - The Original,Recife,1484,2024-08-22,2024-08-29,6.5,0.15,7.7,1160,2024-6-6
Hotel Dan Inn Mar Piedade - Grande Recife,Recife,1515,2024-08-22,2024-08-29,13.7,0.0,7.8,2778,2024-6-6
Beach Class Convention By Hôm - Antigo Bristol Recife,Recife,2128,2024-08-22,2024-08-29,6.6,0.8,8.4,4421,2024-6-6
Flat localizado a 200m Shopping Recife bem Perto da Praia de Boa Viagem e com Wi-Fi 400Mbps,Recife,1518,2024-08-22,2024-08-29,7.8,0.9,9.1,96,2024-6-6
Hotel Golden Park Recife Boa Viagem,Recife,1735,2024-08-22,2024-08-29,9.3,0.0,7.5,2655,2024-6-6
Hotel Fit transamérica,Recife,1021,2024-08-22,2024-08-29,7.0,None,9.3,4,2024-6-6
Hotel Euro Suíte Recife Boa Viagem,Recife,2134,2024-08-22,2024-08-29,8.1,0.5,7.8,3102,2024-6-6
BEACH CLASS INTERNACIONAL FRENTE MAR,Recife,1592,2024-08-22,2024-08-29,4.3,0.0,8.7,142,2024-6-6
Rede Andrade Onda Mar,Recife,1174,2024-08-22,2024-08-29,7.8,0.3,7.0,7735,2024-6-6
Hotel Uzi Praia,Recife,1134,2024-08-22,2024-08-29,4.7,0.25,8.2,1066,2024-6-6
Hospedagem para temporada,Recife,343,2024-08-22,2024-08-29,5.1,None,10.0,2,2024-6-6
Bianca Praia Hotel,Recife,1879,2024-08-22,2024-08-29,6.9,0.25,8.6,4079,2024-6-6
Casa Recife Pousada,Recife,421,2024-08-22,2024-08-29,8.2,1.1,7.1,602,2024-6-6
FLAT ILHA DO LEITE - DENTRO PÓLO MÉDICO,Recife,1254,2024-08-22,2024-08-29,1.7,None,9.7,71,2024-6-6
Rede Andrade Plaza Recife,Recife,1323,2024-08-22,2024-08-29,0.6,3.0,7.0,5386,2024-6-6
SUITE e QUARTOS -1 SUITE COM BANHEIRO PRIVATIVO - 2 QUARTOS DUPLOS COM BANHEIRO COMPARTILHADO,Recife,658,2024-08-22,2024-08-29,3.4,None,9.3,40,2024-6-6
Hotel Enseada Boa Viagem,Recife,1694,2024-08-22,2024-08-29,8.6,0.6,7.5,2399,2024-6-6
Bonito é ser Feliz,Recife,684,2024-08-22,2024-08-29,4.8,None,9.8,46,2024-6-6
Flat em Boa Viagem,Recife,1120,2024-08-22,2024-08-29,9.4,0.1,7.4,1798,2024-6-6
Apartamento Boa Viagem,Recife,1050,2024-08-22,2024-08-29,9.4,0.1,7.5,632,2024-6-6
Quarto Familiar Aconchegante,Recife,500,2024-08-22,2024-08-29,7.4,0.4,9.0,153,2024-6-6
Boa Vista,Recife,833,2024-08-22,2024-08-29,1.2,None,9.1,33,2024-6-6
Duplex,Recife,714,2024-08-22,2024-08-29,0.7,None,9.4,7,2024-6-6
Qto Duplo próximo ao Shopping Recife,Recife,625,2024-08-22,2024-08-29,8.1,None,10.0,3,2024-6-6
Villa d'Oro Hotel,Recife,2400,2024-08-22,2024-08-29,1.4,2.9,8.6,1620,2024-6-6
Flat em Boa Viagem,Recife,1070,2024-08-22,2024-08-29,9.3,0.1,7.4,461,2024-6-6
Apartamento Boa Viagem,Recife,945,2024-08-22,2024-08-29,8.7,0.2,9.0,53,2024-6-6
Scenarium Hotel,Recife,1779,2024-08-22,2024-08-29,13.5,0.15,8.2,1231,2024-6-6
Hotel Boa Viagem Aeroporto,Recife,1119,2024-08-22,2024-08-29,8.7,0.4,7.2,2086,2024-6-6
ibis Recife Boa Viagem,Recife,2076,2024-08-22,2024-08-29,4.4,0.35,8.0,1676,2024-6-6
Marante Plaza Hotel,Recife,3168,2024-08-22,2024-08-29,5.0,0.0,8.3,2420,2024-6-6
Hotel Atlante Plaza,Recife,3972,2024-08-22,2024-08-29,9.2,0.0,8.8,2921,2024-6-6
FLAT EXCELSIOR- PRÓXIMO SHOPPING RIOMAR,Recife,1605,2024-08-22,2024-08-29,3.3,0.1,9.8,20,2024-6-6
BOA VIAGEM - FLAT ROOFTOP ALTO PADRÃO,Recife,1644,2024-08-22,2024-08-29,6.4,0.55,9.8,44,2024-6-6
Marante Executive Hotel,Recife,2055,2024-08-22,2024-08-29,4.4,0.4,8.8,3119,2024-6-6
Radisson Recife,Recife,4998,2024-08-22,2024-08-29,5.7,0.0,8.8,2323,2024-6-6
Flat Mercure,Recife,1264,2024-08-22,2024-08-29,7.0,None,7.0,1,2024-6-6
Luxuoso Flat de 2 qts ao lado do CASV e do Riomar,Recife,948,2024-08-22,2024-08-29,3.4,0.1,7.8,150,2024-6-6
Beach Class Prestige Boa Viagem,Recife,1363,2024-08-22,2024-08-29,4.3,0.0,7.0,147,2024-6-6
PRÓXIMO AO MAR - BOA VIAGEM,Recife,952,2024-08-22,2024-08-29,5.8,0.25,8.5,85,2024-6-6
Flat Beach Class Executive,Recife,1027,2024-08-22,2024-08-29,4.3,0.0,10.0,1,2024-6-6
Hotel Jangadeiro,Recife,2639,2024-08-22,2024-08-29,6.9,0.5,7.8,2644,2024-6-6
Hotel Nacional Inn Recife Aeroporto,Recife,1466,2024-08-22,2024-08-29,8.0,1.2,7.1,1622,2024-6-6
Beira-mar Boa Viagem - Costa Vicentina by Bnb Flex,Recife,1625,2024-08-22,2024-08-29,10.2,0.5,8.5,873,2024-6-6
Transamerica Prestige Recife - Boa Viagem,Recife,2733,2024-08-22,2024-08-29,4.3,0.0,8.4,1557,2024-6-6
Pousada Lorde Inglês,Recife,1561,2024-08-22,2024-08-29,1.4,None,9.1,1180,2024-6-6
Apartamento em Recife,Recife,893,2024-08-22,2024-08-29,6.8,None,10.0,3,2024-6-6
Flat - Boa Viagem para até 5 pessoas andar ALTO vista Mar Piscina Wifi 500Mbps,Recife,1467,2024-08-22,2024-08-29,6.2,0.8,9.8,14,2024-6-6
AMPLA e CONFORTÁVEL SUITE - BAIRRO DO ESPINHEIRO - RECIFE,Recife,1019,2024-08-22,2024-08-29,1.6,None,9.6,112,2024-6-6
Mar Hotel Conventions,Recife,3194,2024-08-22,2024-08-29,8.7,0.5,8.6,2425,2024-6-6
Hospedaria,Recife,343,2024-08-22,2024-08-29,7.2,None,7.6,386,2024-6-6
Lindo Ap 403 Quadra do Mar c Garagem,Recife,980,2024-08-22,2024-08-29,9.5,0.1,9.7,42,2024-6-6
02 Flat Golden Home Boa Viagem,Recife,1026,2024-08-22,2024-08-29,6.2,0.85,9.3,7,2024-6-6
Grand Mercure Recife Boa Viagem,Recife,2807,2024-08-22,2024-08-29,7.8,0.0,7.7,3479,2024-6-6
Fity Hotel,Recife,2512,2024-08-22,2024-08-29,7.3,0.25,8.7,3792,2024-6-6
Vista Sítio da Trindade,Recife,857,2024-08-22,2024-08-29,4.6,None,8.8,27,2024-6-6
Studio com varanda - Melhor localização do Arruda,Recife,682,2024-08-22,2024-08-29,3.6,None,9.0,1,2024-6-6
Hotel Pousada da Praia,Recife,1225,2024-08-22,2024-08-29,4.4,0.15,7.1,432,2024-6-6
Apartamento em Boa Viagem,Recife,1050,2024-08-22,2024-08-29,7.9,1.1,9.7,24,2024-6-6
Flat Beach Class Executive,Recife,1701,2024-08-22,2024-08-29,4.3,0.0,7.9,708,2024-6-6
Flat Novo em Boa Viagem - Rooftop 470,Recife,1374,2024-08-22,2024-08-29,6.4,0.55,9.7,28,2024-6-6
Costa Mar Recife Hotel by Atlantica,Recife,2200,2024-08-22,2024-08-29,13.6,0.0,7.5,1785,2024-6-6
Lindo Ap 101 Quadra do Mar c Garagem,Recife,1120,2024-08-22,2024-08-29,9.5,0.1,9.7,53,2024-6-6
Beach Class Santa Maria by Easy Home,Recife,1649,2024-08-22,2024-08-29,6.3,0.6,8.0,141,2024-6-6
Apartamento aconchegante,Recife,1134,2024-08-22,2024-08-29,0.45,2.1,9.7,12,2024-6-6
Hotel Luzeiros Recife,Recife,3600,2024-08-22,2024-08-29,3.6,0.1,9.0,4768,2024-6-6
AMPLO E CONFORTAVEL QUARTO TRIPLO NO BAIRRO DO ESPINHEIRO em RECIFE,Recife,1130,2024-08-22,2024-08-29,1.6,None,9.7,92,2024-6-6
Studio Prime Designer Recife,Recife,1071,2024-08-22,2024-08-29,2.0,2.8,10.0,1,2024-6-6
NovoHotell Recife,Recife,2158,2024-08-22,2024-08-29,1.5,None,8.1,3695,2024-6-6
Flat para 4 pessoas em Boa Viagem com Piscina Wifi 500Mbps localizado a 350 metros da Praia,Recife,1300,2024-08-22,2024-08-29,6.5,0.0,9.5,15,2024-6-6
Flat Premium Recife-Ilha do leite,Recife,1045,2024-08-22,2024-08-29,1.7,None,9.0,8,2024-6-6
Inter Hotel,Recife,1400,2024-08-22,2024-08-29,7.5,2.0,7.2,1095,2024-6-6
HY Apartments & Hotels,Recife,2381,2024-08-22,2024-08-29,4.3,0.0,8.0,4330,2024-6-6
Oxen Hostel 2024,Recife,226,2024-08-22,2024-08-29,0.45,None,6.2,6,2024-6-6
Classic Golden Point - Boa Viagem,Recife,1428,2024-08-22,2024-08-29,6.5,0.45,9.5,57,2024-6-6
Hotel Pousada Casa Grande,Recife,1182,2024-08-22,2024-08-29,11.5,None,8.0,2,2024-6-6
Condomínio Navegantes Residence Hotel,Recife,1173,2024-08-22,2024-08-29,7.0,0.1,7.5,64,2024-6-6
Mercure Recife Navegantes,Recife,1817,2024-08-22,2024-08-29,7.0,0.1,7.2,476,2024-6-6
Boa Viagem Flat,Recife,1101,2024-08-22,2024-08-29,9.3,0.1,8.6,39,2024-6-6
Flat Brisa - Hotel Mercure Navegantes,Recife,1209,2024-08-22,2024-08-29,7.0,None,None,None,2024-6-6
Hotel Enseada Aeroporto,Recife,1431,2024-08-22,2024-08-29,9.7,0.75,7.5,1855,2024-6-6
Lindo Apartamento com piscina - Beira Mar,Recife,1575,2024-08-22,2024-08-29,5.7,0.0,8.8,39,2024-6-6
Roomo Praia de Boa Viagem Residencial,Recife,2108,2024-08-22,2024-08-29,8.7,0.35,8.1,1169,2024-6-6
Apartamento Royale na praia de Boa Viagem,Recife,2172,2024-08-22,2024-08-29,6.8,0.0,9.6,142,2024-6-6
Silverton Paiva Experience - Flat,Recife,2089,2024-08-22,2024-08-29,19.6,0.75,8.2,3079,2024-6-6
Lindo Ap 1102 Vista do Mar c Garagem,Recife,1260,2024-08-22,2024-08-29,9.3,0.1,9.8,27,2024-6-6
Aram Beach Boa Viagem,Recife,1529,2024-08-22,2024-08-29,8.2,0.1,7.6,3643,2024-6-6
Cantinho Da Del,Recife,1330,2024-08-22,2024-08-29,3.2,1.0,9.1,203,2024-6-6
Loft Portal Beach,Recife,654,2024-08-22,2024-08-29,3.6,0.25,7.3,3,2024-6-6
PRÓXIMO a PRAIA TIPO B -BOA VIAGEM,Recife,893,2024-08-22,2024-08-29,5.8,0.25,8.3,143,2024-6-6
Piratas do Sol Hostel,Recife,364,2024-08-22,2024-08-29,8.4,0.5,7.8,417,2024-6-6
Espaço jeito de casa.,Recife,756,2024-08-22,2024-08-29,6.3,0.35,9.7,3,2024-6-6
Flat 26º andar com vista para o mar- Próximo ao shopping e à praia,Recife,1155,2024-08-22,2024-08-29,7.8,0.9,9.5,68,2024-6-6
Beira-Mar Boa Viagem - Ivone Asfora by Bnb Flex,Recife,1695,2024-08-22,2024-08-29,9.5,0.5,8.6,211,2024-6-6
Sossego com excelente localização em Boa Viagem,Recife,1071,2024-08-22,2024-08-29,6.3,0.9,8.3,49,2024-6-6
Reef Hostel & Pousada,Recife,364,2024-08-22,2024-08-29,1.3,None,7.6,966,2024-6-6
FLAT BOA VIAGEM PRÓXIMO A PRAIA,Recife,1393,2024-08-22,2024-08-29,6.6,0.4,9.5,51,2024-6-6
Kitinete Avenida Boa Viagem,Recife,1204,2024-08-22,2024-08-29,9.0,0.0,8.0,117,2024-6-6
Conforto e Estilo no Beach Class Santa Maria,Recife,1016,2024-08-22,2024-08-29,6.3,0.6,7.3,83,2024-6-6
Melhor localização em Boa Viagem!,Recife,1048,2024-08-22,2024-08-29,6.3,0.9,9.5,17,2024-6-6
APARTAMENTO NO MELHOR DE BOA VIAGEM,Recife,884,2024-08-22,2024-08-29,9.0,0.9,10.0,1,2024-6-6
Studio Boa Viagem,Recife,882,2024-08-22,2024-08-29,8.3,0.85,6.8,550,2024-6-6
Hostel Recife,Recife,230,2024-08-22,2024-08-29,0.45,None,None,None,2024-6-6
Bugan Recife Boa Viagem Hotel - by Atlantica,Recife,4281,2024-08-22,2024-08-29,8.3,0.35,9.1,2588,2024-6-6
Sun Smart Hotel,Recife,1315,2024-08-22,2024-08-29,3.4,0.85,7.6,1276,2024-6-6
Boa Viagem Flat Recife 50 mts do MAR ! Portaria 24hs,Recife,1260,2024-08-22,2024-08-29,9.3,0.5,8.3,80,2024-6-6
FLAT BEIRA MAR - BEACH CLASS EXECUTIVE,Recife,2843,2024-08-22,2024-08-29,4.2,0.0,9.1,45,2024-6-6
Beach Class Excelsior,Recife,1575,2024-08-22,2024-08-29,3.3,0.1,8.5,32,2024-6-6
Duplex,Recife,714,2024-08-22,2024-08-29,0.7,None,None,None,2024-6-6
Recife Centro Apartamento,Recife,1260,2024-08-22,2024-08-29,0.5,2.9,8.6,149,2024-6-6
Aconchegante ótima localização e vista para o mar,Recife,1809,2024-08-22,2024-08-29,0.3,2.6,8.3,9,2024-6-6
Quarto confortável em Boa viagem,Recife,669,2024-08-22,2024-08-29,9.1,0.55,8.7,14,2024-6-6
Pousada Solar do Lazer,Recife,268,2024-08-22,2024-08-29,0.5,None,6.0,3,2024-6-6
Betel Beach Flat Internacional Boa Viagem,Recife,2793,2024-08-22,2024-08-29,4.3,0.0,7.7,58,2024-6-6
LOFT PREMIUM Boa Viagem 20 andar,Recife,2005,2024-08-22,2024-08-29,8.7,0.35,8.3,62,2024-6-6
Charming 1-BR Apartment in Boa Viagem - with Ocean View,Recife,1540,2024-08-22,2024-08-29,4.1,0.0,9.9,20,2024-6-6
PEQUENO QUARTO SIMPLES individual  com VENTILADOR,Recife,647,2024-08-22,2024-08-29,1.6,None,10.0,4,2024-6-6
POUSADA BRASIL RECIFE,Recife,350,2024-08-22,2024-08-29,7.6,3.0,5.2,92,2024-6-6
My House Boa Viagem,Recife,1418,2024-08-22,2024-08-29,7.9,None,None,None,2024-6-6
Rede Andrade Vela Branca,Recife,1230,2024-08-22,2024-08-29,8.3,0.35,6.6,777,2024-6-6
Rede Andrade Navegantes,Recife,1458,2024-08-22,2024-08-29,6.7,0.1,7.2,1011,2024-6-6
Flat Quarto e Sala 400 metros da Praia de Boa Viagem com Piscina Wi-Fi 220Mbps,Recife,1498,2024-08-22,2024-08-29,6.2,0.0,8.4,14,2024-6-6
Hotel Veraneio,Recife,1750,2024-08-22,2024-08-29,8.7,1.8,7.3,1945,2024-6-6
Flat Boa Viagem Alceu Valença,Recife,1047,2024-08-22,2024-08-29,6.2,0.45,8.8,4,2024-6-6
Apt. Completo em Recife Boa Viagem - 2 qts - p/ 5 pessoas - 200m da praia,Recife,1295,2024-08-22,2024-08-29,6.6,0.25,8.9,45,2024-6-6
Flat em Boa Viagem Rooftop 470 Conforto e Localização privilegiada,Recife,1652,2024-08-22,2024-08-29,6.4,0.55,9.3,14,2024-6-6
Confortável Flat em Boa Viagem com vista,Recife,1298,2024-08-22,2024-08-29,8.7,0.35,7.3,21,2024-6-6
Rooftop.470 Recife by Carpediem,Recife,1474,2024-08-22,2024-08-29,6.4,0.55,7.8,27,2024-6-6
Flat Luxury Chelsea frente ao Dona Lindu,Recife,1935,2024-08-22,2024-08-29,9.7,None,8.0,4,2024-6-6
Lindo apartamento no melhor do Recife,Recife,1337,2024-08-22,2024-08-29,3.5,0.9,9.8,5,2024-6-6
Flat Beach Class Internacional,Recife,1928,2024-08-22,2024-08-29,4.3,0.0,8.3,84,2024-6-6
Flat Gildo Vilaça,Recife,1714,2024-08-22,2024-08-29,3.4,None,8.9,392,2024-6-6
GOLDEN LAND FLAT BOA VIAGEM,Recife,1350,2024-08-22,2024-08-29,6.8,0.7,8.9,26,2024-6-6
Hotel Pousada da Praça,Recife,1120,2024-08-22,2024-08-29,8.7,0.0,7.3,464,2024-6-6
Lar da Galega Espinheiro,Recife,1050,2024-08-22,2024-08-29,2.0,2.7,7.4,49,2024-6-6
Apartamento próximo ao aeroporto e praia,Recife,809,2024-08-22,2024-08-29,9.0,0.9,5.3,3,2024-6-6
Albergue Cultural São Salomão,Recife,560,2024-08-22,2024-08-29,8.5,None,8.8,159,2024-6-6
Gira Arte Hostel,Recife,770,2024-08-22,2024-08-29,4.3,None,8.7,52,2024-6-6
Perto do Chevrolet Hall,Recife,750,2024-08-22,2024-08-29,3.3,None,10.0,3,2024-6-6
FLAT EM BOA VIAGEM,Recife,1190,2024-08-22,2024-08-29,6.6,0.5,8.1,34,2024-6-6
Excelente flat em Setúbal Boa Viagem até 4 pessoas cercado por restaurantes e supermercados PM802,Recife,1540,2024-08-22,2024-08-29,9.6,0.4,9.2,5,2024-6-6
Costa Mar Recife by ACM,Recife,1232,2024-08-22,2024-08-29,13.6,0.0,7.5,24,2024-6-6
Fit Hostel,Recife,343,2024-08-22,2024-08-29,5.8,0.25,8.3,510,2024-6-6
Apartamento Jussara Freitas 2 quartos,Recife,1260,2024-08-22,2024-08-29,10.0,0.0,9.7,3,2024-6-6
No coração de Boa Viagem,Recife,1260,2024-08-22,2024-08-29,8.2,0.15,9.3,38,2024-6-6
Flat Luxury Soho frente na praia de Boa Viagem,Recife,1312,2024-08-22,2024-08-29,9.7,0.0,None,None,2024-6-6
Boa Viagem Beach Flat apt 304,Recife,998,2024-08-22,2024-08-29,8.7,0.2,None,None,2024-6-6
Flat de luxo Rooftop 201,Recife,2016,2024-08-22,2024-08-29,6.4,0.55,9.7,9,2024-6-6
Casa do Meio Pousada,Recife,548,2024-08-22,2024-08-29,9.4,1.1,6.7,704,2024-6-6
Flat Boa Viagem,Recife,1178,2024-08-22,2024-08-29,9.3,0.1,9.5,2,2024-6-6
Casa da Esquina Pousada,Recife,479,2024-08-22,2024-08-29,9.4,1.1,6.7,930,2024-6-6
Stay Residence - CASA COMPARTILHADA,Recife,483,2024-08-22,2024-08-29,1.0,None,6.6,21,2024-6-6
Kitnet na Boa Vista Recife - 508,Recife,1279,2024-08-22,2024-08-29,1.2,None,9.1,60,2024-6-6
Studio novo e equipado em Boa Viagem Rooftop #1004,Recife,1638,2024-08-22,2024-08-29,6.4,0.55,8.7,3,2024-6-6
Apartamento com piscina,Recife,1120,2024-08-22,2024-08-29,10.1,0.5,9.3,9,2024-6-6
Studio 51 residence,Recife,755,2024-08-22,2024-08-29,15.5,0.1,7.9,398,2024-6-6
Excelente Flat em Boa Viagem 2 quartos Beach Class Ideal para Família ou Negócios NOB2105,Recife,2352,2024-08-22,2024-08-29,6.6,0.8,8.9,20,2024-6-6
Flat praia Candeias Piedade,Recife,1120,2024-08-22,2024-08-29,15.7,0.15,9.1,11,2024-6-6
